UserID	WindowID	Split	ApplicationDate	JobID
554	1	Train	2012-04-02 05:08:44.72	283949
20903	1	Train	2012-04-04 11:58:01.63	283949
54580	1	Train	2012-04-18 18:17:18.247	283949
71003	1	Train	2012-04-04 21:50:31.5	283949
115981	1	Train	2012-04-01 00:41:49.213	283949
121452	1	Train	2012-04-04 12:52:24.367	283949
141576	1	Train	2012-04-02 13:39:37	283949
166097	1	Train	2012-04-04 12:24:01.253	283949
177180	1	Train	2012-04-20 12:37:23.237	283949
188208	1	Train	2012-04-02 14:25:10.353	283949
188520	1	Train	2012-04-19 16:19:21.167	283949
196615	1	Train	2012-04-02 09:38:07.803	283949
206637	1	Train	2012-04-06 12:01:07.507	283949
209032	1	Train	2012-04-14 17:49:54.133	283949
291716	1	Train	2012-04-06 22:15:53.4	283949
327276	1	Train	2012-04-07 23:48:01.573	283949
343138	1	Train	2012-04-06 17:36:53.757	283949
388459	1	Train	2012-04-08 23:07:27.697	283949
437464	1	Train	2012-04-07 17:00:21.163	283949
443414	1	Train	2012-04-09 17:15:47.83	283949
447416	1	Train	2012-04-06 11:46:13.137	283949
556816	1	Train	2012-04-06 12:23:12.687	283949
602768	1	Train	2012-04-17 14:15:09.343	283949
606660	1	Train	2012-04-03 19:44:52.953	283949
657889	1	Train	2012-04-09 09:17:52.36	283949
675975	1	Train	2012-04-02 11:05:22.213	283949
679135	1	Train	2012-04-01 06:43:00.42	283949
688238	1	Train	2012-04-06 12:45:26.72	283949
709622	1	Train	2012-04-09 12:09:14.983	283949
741211	1	Train	2012-04-05 01:26:50.257	283949
743597	1	Train	2012-04-08 21:15:29.95	283949
748001	1	Train	2012-04-02 16:25:05.27	283949
807327	1	Train	2012-04-04 13:29:33.923	283949
808222	1	Train	2012-04-03 10:03:59.63	283949
814518	1	Train	2012-04-17 09:24:32.147	283949
816471	1	Train	2012-04-09 04:18:34.723	283949
821350	1	Train	2012-04-03 10:04:30.357	283949
836356	1	Train	2012-04-09 13:13:31.653	283949
839715	1	Train	2012-04-07 11:59:29.443	283949
862600	1	Train	2012-04-09 19:38:05.147	283949
863070	1	Train	2012-04-05 18:37:42.48	283949
872158	1	Train	2012-04-09 14:00:48.283	283949
906097	1	Train	2012-04-07 16:07:55.56	283949
914295	1	Train	2012-04-03 12:28:24.073	283949
914918	1	Train	2012-04-05 15:14:16.54	283949
933247	1	Train	2012-04-04 15:55:13.247	283949
960461	1	Train	2012-04-09 22:43:54.66	283949
983868	1	Train	2012-04-06 22:57:28.45	283949
1006796	1	Train	2012-04-04 13:48:49.657	283949
1011948	1	Train	2012-04-09 09:53:11.987	283949
1024413	1	Train	2012-04-05 08:31:19.207	283949
1044769	1	Train	2012-04-05 12:59:08.94	283949
1051864	1	Train	2012-04-07 07:05:22.28	283949
1054218	1	Train	2012-04-07 21:33:32.557	283949
1055231	1	Train	2012-04-20 14:07:08.027	283949
1105167	1	Train	2012-04-21 07:48:32.11	283949
1129364	1	Train	2012-04-02 10:21:31.547	283949
1216470	1	Train	2012-04-01 16:11:32.897	283949
1220704	1	Train	2012-04-16 19:38:21.75	283949
1267388	1	Train	2012-04-05 22:17:44.647	283949
1268808	1	Train	2012-04-03 17:11:11.247	283949
1285814	1	Train	2012-04-04 15:01:51.127	283949
1287995	1	Train	2012-04-05 15:04:14.023	283949
1296403	1	Train	2012-04-05 00:12:25.057	283949
1306893	1	Train	2012-04-20 18:57:23.177	283949
1352610	1	Train	2012-04-09 14:28:21.377	283949
1360632	1	Train	2012-04-09 11:07:38.257	283949
1373288	1	Train	2012-04-01 20:50:19.033	283949
1388078	1	Train	2012-04-08 16:01:51.633	283949
1393718	1	Train	2012-04-09 11:34:56.61	283949
1465197	1	Train	2012-04-18 11:37:47.423	283949
47	1	Train	2012-04-05 024027.753	2121
60742	1	Train	2012-04-01 22:05:04.707	2121
84925	1	Train	2012-04-03 21:13:11.98	2121
125210	1	Train	2012-04-01 21:18:52.143	2121
276994	1	Train	2012-04-03 14:05:56.973	2121
336595	1	Train	2012-04-05 02:02:33.897	2121
361995	1	Train	2012-04-01 21:02:43.3	2121
366329	1	Train	2012-04-05 21:37:25.917	2121
415280	1	Train	2012-04-07 03:34:43.683	2121
450399	1	Train	2012-04-06 23:48:12.353	2121
717823	1	Train	2012-04-06 14:12:29.19	2121
796461	1	Train	2012-04-05 15:59:10.417	2121
913917	1	Train	2012-04-02 23:33:23.637	2121
947826	1	Train	2012-04-02 21:08:52.45	2121
1017099	1	Train	2012-04-03 12:25:49.097	2121
1283456	1	Train	2012-04-02 20:31:09.453	2121
1288894	1	Train	2012-04-04 02:38:48.87	2121
1297779	1	Train	2012-04-03 23:22:39.347	2121
1317636	1	Train	2012-04-05 07:53:48.56	2121
1400545	1	Train	2012-04-02 18:37:35.46	2121
131	1	Train	2012-04-05 17:09:34.33	50183
87663	1	Train	2012-04-01 15:30:01.187	50183
170052	1	Train	2012-04-09 09:24:26.827	50183
398099	1	Train	2012-04-02 11:11:44.28	50183
845777	1	Train	2012-04-03 12:52:38.603	50183
991132	1	Train	2012-04-07 20:10:07.147	50183
1060488	1	Train	2012-04-05 09:10:53.763	50183
1157711	1	Train	2012-04-09 13:39:15.143	50183
1286639	1	Train	2012-04-05 10:15:48.16	50183
1321216	1	Train	2012-04-04 12:14:52.063	50183
1383956	1	Train	2012-04-09 11:41:57.693	50183
1405995	1	Train	2012-04-02 18:27:10.59	50183
1465628	1	Train	2012-04-09 15:29:11.077	50183
72	1	Train	2012-04-07 17:38:10.137	180313
230730	1	Train	2012-04-04 14:52:33.413	180313
528671	1	Train	2012-04-09 20:35:17.2	180313
868573	1	Train	2012-04-04 17:31:56.69	180313
1008017	1	Train	2012-04-04 21:50:30.19	180313
